ID_Caso,Fecha_Deteccion,Proceso_ID,Tipo_Hallazgo_ID,Severidad,Origen_Deteccion,Estado,Fecha_Cierre,Dias_Para_Cierre,Responsable_ID,Costo_Estimado_COP
NC-104518,2014-02-24,P08,T04,Alta,Autocontrol,En Tratamiento,,,R11,765047
NC-102896,2014-02-25,P02,T01,Crítica,Autocontrol,Cerrada,2014-03-17,20,R13,387341
NC-100365,2014-02-25,P01,T04,Media,Auditoría Interna,Cerrada,2014-03-17,20,R11,370023
NC-105895,2014-02-26,P06,T02,Media,Autocontrol,Cerrada,2014-03-04,6,R17,167742
NC-103609,2014-02-27,P07,T02,Alta,Auditoría Externa,Abierta,,,R09,579412
NC-105142,2014-02-28,P07,T03,Baja,Inspección de Calidad,Cerrada,2014-03-16,16,R01,90535
NC-103216,2014-03-02,P07,T01,Alta,Auditoría Interna,Cerrada,2014-03-11,9,R18,903749
NC-100040,2014-03-03,P01,T01,Baja,Auditoría Interna,Cerrada,2014-03-21,18,R08,300742
NC-106119,2014-03-04,P02,T03,Baja,Autocontrol,Cerrada,2014-03-05,1,R16,86184
NC-103052,2014-03-08,P01,T01,Baja,Autocontrol,Abierta,,,R09,72874
NC-105787,2014-03-10,P04,T04,Alta,Inspección de Calidad,Cerrada,2014-03-20,10,R16,893162
NC-101226,2014-03-10,P07,T06,Baja,Inspección de Calidad,Cerrada,2014-03-23,13,R09,228792
NC-102299,2014-03-12,P03,T01,Baja,Auditoría Interna,Cerrada,2014-03-22,10,R11,243494
NC-101523,2014-03-14,P03,T03,Media,Autocontrol,Cerrada,2014-03-27,13,R09,692543
NC-102746,2014-03-14,P08,T01,Alta,Auditoría Interna,Cerrada,2014-03-25,11,R19,897814
NC-105837,2014-03-17,P08,T04,Alta,Inspección de Calidad,En Tratamiento,,,R01,204011
NC-102793,2014-03-18,P06,T03,Crítica,Auditoría Externa,Cerrada,2014-04-12,25,R14,881972
NC-103145,2014-03-18,P07,T02,Alta,Queja de Cliente,Cerrada,2014-03-31,13,R09,259586
NC-105001,2014-03-19,P07,T02,Media,Queja de Cliente,Cerrada,2014-04-01,13,R08,416780
NC-100043,2014-03-19,P02,T06,Media,Auditoría Externa,Cerrada,2014-04-15,27,R13,1302309
NC-101455,2014-03-20,P01,T04,Media,Auditoría Interna,Abierta,,,R16,50631
NC-102935,2014-03-22,P01,T06,Baja,Auditoría Interna,Cerrada,2014-04-11,20,R09,181170
NC-105382,2014-03-23,P07,T03,Media,Auditoría Externa,Cerrada,2014-04-04,12,R09,276312
NC-102236,2014-03-23,P06,T02,Baja,Inspección de Calidad,Cerrada,2014-04-02,10,R08,182472
NC-106039,2014-03-24,P07,T01,Crítica,Inspección de Calidad,Abierta,,,R13,699229
NC-106193,2014-03-28,P06,T02,Media,Auditoría Interna,Cerrada,2014-04-06,9,R13,880736
NC-102614,2014-03-28,P02,T02,Baja,Auditoría Externa,Cerrada,2014-04-14,17,R01,229849
NC-102682,2014-03-30,P03,T01,Baja,Auditoría Externa,Abierta,,,R01,222386
NC-106012,2014-03-31,P03,T06,Alta,Auditoría Externa,Cerrada,2014-05-02,32,R13,773319
NC-105610,2014-03-31,P05,T01,Media,Queja de Cliente,Cerrada,2014-04-13,13,R13,501075
NC-102359,2014-03-31,P02,T06,Alta,Queja de Cliente,Cerrada,2014-04-07,7,R18,607564
NC-100558,2014-04-01,P01,T06,Baja,Inspección de Calidad,Cerrada,2014-04-04,3,R14,360022
NC-102714,2014-04-03,P07,T01,Crítica,Auditoría Interna,En Tratamiento,,,R14,887509
NC-100493,2014-04-04,P04,T06,Alta,Auditoría Externa,Cerrada,2014-04-12,8,R13,1163697
NC-101062,2014-04-06,P06,T06,Alta,Autocontrol,Cerrada,2014-04-09,3,R17,1004048
NC-105390,2014-04-06,P02,T04,Baja,Autocontrol,Cerrada,2014-04-24,18,R18,119534
NC-104061,2014-04-08,P04,T06,Alta,Autocontrol,Cerrada,2014-04-19,11,R17,1080783
NC-102596,2014-04-09,P06,T03,Baja,Auditoría Interna,Cerrada,2014-04-23,14,R18,306720
NC-105097,2014-04-12,P08,T03,Media,Autocontrol,Cerrada,2014-04-21,9,R16,480714
NC-101549,2014-04-13,P07,T01,Baja,Autocontrol,Cerrada,2014-04-25,12,R17,35554
NC-102451,2014-04-16,P03,T01,Baja,Auditoría Interna,Cerrada,2014-04-23,7,R08,63986
NC-102524,2014-04-18,P08,T05,Alta,Auditoría Interna,Cerrada,2014-04-24,6,R09,1238947
NC-101922,2014-04-19,P04,T03,Media,Auditoría Externa,Cerrada,2014-04-27,8,R09,268403
NC-105808,2014-04-20,P02,T02,Crítica,Queja de Cliente,Cerrada,2014-05-11,21,R21,2347111
NC-101286,2014-04-21,P02,T04,Crítica,Auditoría Interna,Cerrada,2014-04-27,6,R01,2071862
NC-103298,2014-04-21,P05,T01,Alta,Queja de Cliente,Cerrada,2014-04-25,4,R08,235704
NC-103544,2014-04-23,P02,T03,Media,Auditoría Interna,En Tratamiento,,,R16,951370
NC-101993,2014-04-23,P01,T05,Alta,Queja de Cliente,Cerrada,2014-04-29,6,R17,1510568
NC-105517,2014-04-24,P06,T02,Baja,Inspección de Calidad,Cerrada,2014-05-03,9,R08,34046
NC-102843,2014-04-25,P07,T01,Baja,Inspección de Calidad,Cerrada,2014-05-04,9,R17,270264
NC-100382,2014-04-25,P06,T04,Media,Auditoría Externa,Cerrada,2014-05-06,11,R01,1172424
NC-102759,2014-04-26,P05,T04,Alta,Inspección de Calidad,Cerrada,2014-05-15,19,R18,322647
NC-103466,2014-04-26,P05,T05,Alta,Inspección de Calidad,Cerrada,2014-04-29,3,R11,245222
NC-100756,2014-04-29,P08,T02,Baja,Inspección de Calidad,Cerrada,2014-05-11,12,R09,200249
NC-102959,2014-05-01,P05,T02,Baja,Queja de Cliente,Cerrada,2014-05-23,22,R18,237161
NC-106013,2014-05-02,P08,T06,Alta,Autocontrol,Cerrada,2014-05-19,17,R14,140576
NC-101199,2014-05-02,P05,T05,Alta,Autocontrol,Cerrada,2014-05-12,10,R01,137196
NC-101282,2014-05-03,P05,T04,Media,Auditoría Externa,Cerrada,2014-05-16,13,R13,110059
NC-100986,2014-05-03,P07,T04,Media,Queja de Cliente,Cerrada,2014-05-17,14,R20,921081
NC-100257,2014-05-05,P01,T06,Baja,Inspección de Calidad,En Tratamiento,,,R13,47194
NC-102334,2014-05-05,P02,T05,Media,Auditoría Interna,Cerrada,2014-05-10,5,R16,954998
NC-102481,2014-05-05,P04,T02,Baja,Auditoría Interna,Cerrada,2014-05-07,2,R14,105573
NC-104444,2014-05-06,P07,T03,Media,Queja de Cliente,Abierta,,,R20,50065
NC-105353,2014-05-09,P04,T04,Media,Auditoría Interna,En Tratamiento,,,R17,1406291
NC-105740,2014-05-11,P08,T01,Media,Inspección de Calidad,En Tratamiento,,,R21,805407
NC-104582,2014-05-11,P05,T05,Alta,Auditoría Interna,Cerrada,2014-05-21,10,R13,1789643
NC-104804,2014-05-11,P02,T03,Media,Auditoría Interna,Cerrada,2014-05-19,8,R08,956553
NC-104505,2014-05-12,P08,T05,Baja,Autocontrol,En Tratamiento,,,R13,98131
NC-103268,2014-05-12,P04,T03,Alta,Auditoría Interna,Cerrada,2014-06-01,20,R18,957241
NC-102139,2014-05-12,P02,T01,Crítica,Autocontrol,Cerrada,2014-05-15,3,R16,1544844
NC-104943,2014-05-15,P03,T05,Media,Auditoría Interna,Cerrada,2014-05-20,5,R19,428922
NC-101235,2014-05-16,P07,T06,Alta,Inspección de Calidad,Cerrada,2014-06-05,20,R18,1089603
NC-105525,2014-05-16,P06,T06,Media,Auditoría Interna,Cerrada,2014-05-21,5,R11,954017
NC-102640,2014-05-17,P06,T06,Media,Autocontrol,Cerrada,2014-06-03,17,R19,75703
NC-103201,2014-05-18,P01,T02,Media,Inspección de Calidad,Cerrada,2014-05-27,9,R18,306453
NC-102586,2014-05-19,P04,T04,Baja,Queja de Cliente,Cerrada,2014-06-09,21,R13,93681
NC-103349,2014-05-19,P03,T05,Media,Auditoría Interna,Cerrada,2014-05-30,11,R16,1282154
NC-101041,2014-05-20,P04,T02,Alta,Inspección de Calidad,Cerrada,2014-06-01,12,R09,672661
NC-103196,2014-05-21,P06,T01,Alta,Auditoría Interna,Cerrada,2014-06-11,21,R21,112746
NC-101867,2014-05-21,P08,T01,Media,Inspección de Calidad,Cerrada,2014-05-27,6,R01,721503
NC-100996,2014-05-23,P04,T06,Baja,Auditoría Interna,Cerrada,2014-06-08,16,R21,145710
NC-100755,2014-05-25,P04,T02,Alta,Inspección de Calidad,Cerrada,2014-06-11,17,R08,767970
NC-102808,2014-05-25,P06,T04,Media,Inspección de Calidad,Cerrada,2014-06-04,10,R01,375249
NC-105222,2014-05-26,P06,T03,Media,Autocontrol,Cerrada,2014-06-01,6,R01,490866
NC-103368,2014-05-28,P05,T01,Baja,Inspección de Calidad,En Tratamiento,,,R20,273001
NC-103969,2014-05-29,P05,T01,Baja,Inspección de Calidad,Cerrada,2014-06-08,10,R09,94042
NC-105013,2014-05-29,P01,T04,Alta,Inspección de Calidad,Cerrada,2014-06-15,17,R13,267268
NC-102311,2014-06-01,P03,T04,Baja,Inspección de Calidad,Cerrada,2014-06-11,10,R09,237230
NC-100066,2014-06-02,P03,T06,Media,Inspección de Calidad,Cerrada,2014-06-09,7,R18,226250
NC-105854,2014-06-03,P08,T03,Media,Auditoría Externa,En Tratamiento,,,R18,258468
NC-106033,2014-06-05,P08,T06,Baja,Autocontrol,Cerrada,2014-06-08,3,R14,375718
NC-100064,2014-06-05,P05,T03,Media,Inspección de Calidad,Cerrada,2014-06-07,2,R16,640553
NC-103425,2014-06-06,P06,T05,Baja,Inspección de Calidad,Cerrada,2014-06-19,13,R08,116277
NC-106014,2014-06-07,P03,T06,Alta,Queja de Cliente,Cerrada,2014-06-15,8,R16,1080780
NC-104443,2014-06-07,P04,T06,Alta,Autocontrol,Cerrada,2014-06-20,13,R20,949235
NC-101345,2014-06-11,P04,T06,Alta,Auditoría Interna,Cerrada,2014-07-02,21,R17,693506
NC-101401,2014-06-12,P04,T06,Media,Inspección de Calidad,Cerrada,2014-07-11,29,R13,322720
NC-105614,2014-06-12,P07,T06,Media,Queja de Cliente,Cerrada,2014-07-02,20,R14,300571
NC-105683,2014-06-15,P02,T06,Baja,Queja de Cliente,Cerrada,2014-06-23,8,R14,232817
NC-104523,2014-06-16,P07,T02,Baja,Auditoría Externa,Cerrada,2014-06-23,7,R11,51468
NC-102252,2014-06-17,P05,T04,Media,Auditoría Interna,Cerrada,2014-06-19,2,R13,982017
NC-105946,2014-06-18,P01,T06,Media,Autocontrol,Cerrada,2014-06-28,10,R18,422621
NC-105274,2014-06-19,P01,T06,Baja,Inspección de Calidad,Abierta,,,R21,281012
NC-103991,2014-06-19,P04,T06,Baja,Inspección de Calidad,Cerrada,2014-06-24,5,R17,94219
NC-104892,2014-06-23,P01,T03,Baja,Auditoría Interna,Cerrada,2014-06-29,6,R21,181201
NC-101546,2014-06-23,P06,T03,Baja,Inspección de Calidad,Cerrada,2014-07-04,11,R01,89105
NC-101348,2014-06-24,P03,T05,Alta,Inspección de Calidad,En Tratamiento,,,R01,517646
NC-106178,2014-06-24,P02,T01,Alta,Autocontrol,Abierta,,,R20,648801
NC-103409,2014-06-27,P05,T01,Alta,Inspección de Calidad,Cerrada,2014-07-09,12,R21,346533
NC-102531,2014-06-28,P06,T06,Baja,Auditoría Interna,En Tratamiento,,,R08,146181
NC-101086,2014-06-28,P07,T03,Alta,Auditoría Externa,Cerrada,2014-07-12,14,R13,1184415
NC-103966,2014-06-29,P05,T06,Media,Inspección de Calidad,Abierta,,,R19,194900
NC-104004,2014-06-29,P07,T03,Media,Auditoría Externa,Cerrada,2014-07-08,9,R16,531865
NC-100068,2014-07-01,P06,T01,Media,Autocontrol,Cerrada,2014-07-11,10,R09,2035973
NC-104940,2014-07-03,P04,T03,Baja,Auditoría Externa,Cerrada,2014-07-09,6,R16,12738
NC-103470,2014-07-03,P08,T05,Baja,Auditoría Interna,Cerrada,2014-07-13,10,R13,239062
NC-103882,2014-07-05,P08,T06,Alta,Autocontrol,Cerrada,2014-07-14,9,R11,878072
NC-104673,2014-07-06,P04,T01,Baja,Inspección de Calidad,Cerrada,2014-07-19,13,R01,53410
NC-104100,2014-07-06,P02,T06,Alta,Auditoría Externa,Cerrada,2014-07-14,8,R19,554380
NC-100489,2014-07-06,P07,T01,Baja,Queja de Cliente,Cerrada,2014-07-23,17,R14,217822
NC-103895,2014-07-08,P01,T01,Media,Autocontrol,Cerrada,2014-08-04,27,R13,128282
NC-105272,2014-07-10,P07,T05,Alta,Auditoría Externa,Cerrada,2014-07-24,14,R01,691242
NC-104006,2014-07-10,P05,T02,Media,Autocontrol,Cerrada,2014-07-17,7,R09,341951
NC-102546,2014-07-10,P05,T02,Baja,Queja de Cliente,Cerrada,2014-07-29,19,R17,498728
NC-104049,2014-07-13,P02,T02,Alta,Autocontrol,Cerrada,2014-07-27,14,R17,307164
NC-104071,2014-07-14,P04,T01,Alta,Queja de Cliente,En Tratamiento,,,R19,287453
NC-101822,2014-07-15,P05,T04,Alta,Auditoría Interna,Cerrada,2014-07-29,14,R01,900579
NC-103001,2014-07-17,P07,T04,Baja,Queja de Cliente,Cerrada,2014-07-30,13,R19,336955
NC-104104,2014-07-18,P04,T04,Alta,Queja de Cliente,Cerrada,2014-07-22,4,R20,1677873
NC-100114,2014-07-19,P08,T03,Alta,Auditoría Externa,Abierta,,,R20,377047
NC-100616,2014-07-21,P08,T06,Alta,Queja de Cliente,Abierta,,,R13,968290
NC-102319,2014-07-22,P07,T04,Baja,Inspección de Calidad,Cerrada,2014-07-28,6,R21,262132
NC-102314,2014-07-22,P01,T05,Baja,Auditoría Interna,Cerrada,2014-08-03,12,R20,45278
NC-100289,2014-07-22,P06,T01,Media,Autocontrol,Cerrada,2014-07-26,4,R01,825944
NC-103110,2014-07-24,P03,T02,Baja,Auditoría Externa,Cerrada,2014-08-07,14,R18,117507
NC-100945,2014-07-25,P03,T05,Crítica,Inspección de Calidad,Abierta,,,R20,3506440
NC-100742,2014-07-26,P01,T02,Alta,Auditoría Externa,Cerrada,2014-08-08,13,R17,368040
NC-102374,2014-07-27,P03,T01,Alta,Queja de Cliente,En Tratamiento,,,R09,259334
NC-102471,2014-07-28,P02,T02,Media,Auditoría Interna,Cerrada,2014-08-16,19,R21,55011
NC-106004,2014-07-30,P01,T05,Crítica,Auditoría Externa,Cerrada,2014-08-13,14,R20,262442
NC-103296,2014-07-31,P07,T01,Baja,Auditoría Interna,Cerrada,2014-08-23,23,R21,74899
NC-100116,2014-08-01,P02,T03,Alta,Auditoría Interna,Cerrada,2014-08-11,10,R09,468276
NC-104685,2014-08-01,P01,T03,Media,Auditoría Externa,Cerrada,2014-08-05,4,R21,679538
NC-104483,2014-08-04,P05,T03,Media,Auditoría Externa,Cerrada,2014-08-10,6,R23,480948
NC-103114,2014-08-06,P01,T01,Media,Auditoría Interna,Cerrada,2014-08-10,4,R17,856587
NC-100886,2014-08-06,P01,T03,Alta,Autocontrol,Cerrada,2014-08-10,4,R20,866313
NC-102846,2014-08-07,P08,T02,Media,Auditoría Externa,Cerrada,2014-08-16,9,R08,1945872
NC-100737,2014-08-07,P04,T02,Baja,Queja de Cliente,Cerrada,2014-08-19,12,R19,198617
NC-105496,2014-08-08,P06,T04,Media,Auditoría Externa,Cerrada,2014-08-19,11,R08,673136
NC-102192,2014-08-08,P06,T01,Alta,Inspección de Calidad,Cerrada,2014-08-26,18,R21,65934
NC-105921,2014-08-10,P05,T05,Alta,Queja de Cliente,Cerrada,2014-08-21,11,R16,421526
NC-105372,2014-08-10,P05,T06,Alta,Autocontrol,Cerrada,2014-08-14,4,R08,566776
NC-101213,2014-08-10,P03,T04,Alta,Queja de Cliente,Cerrada,2014-08-12,2,R16,554677
NC-102066,2014-08-11,P02,T04,Media,Auditoría Interna,Cerrada,2014-08-14,3,R20,729038
NC-101904,2014-08-12,P05,T04,Media,Autocontrol,Cerrada,2014-08-31,19,R11,594046
NC-100421,2014-08-12,P08,T03,Alta,Auditoría Externa,Cerrada,2014-08-20,8,R21,451120
NC-101527,2014-08-13,P04,T04,Crítica,Auditoría Externa,Cerrada,2014-08-30,17,R11,2502456
NC-103716,2014-08-14,P03,T05,Baja,Autocontrol,Cerrada,2014-08-19,5,R11,132437
NC-104321,2014-08-14,P02,T04,Baja,Auditoría Externa,Cerrada,2014-08-30,16,R09,136862
NC-103742,2014-08-16,P04,T01,Baja,Auditoría Interna,Cerrada,2014-09-06,21,R21,143065
NC-102739,2014-08-18,P06,T01,Alta,Queja de Cliente,Cerrada,2014-08-24,6,R17,935273
NC-105125,2014-08-20,P06,T05,Media,Queja de Cliente,En Tratamiento,,,R14,615589
NC-102756,2014-08-20,P07,T03,Media,Autocontrol,En Tratamiento,,,R23,410457
NC-103486,2014-08-20,P07,T05,Baja,Autocontrol,Cerrada,2014-08-21,1,R21,134292
NC-100785,2014-08-22,P02,T05,Baja,Queja de Cliente,Cerrada,2014-09-03,12,R18,11143
NC-101488,2014-08-23,P05,T01,Media,Autocontrol,Cerrada,2014-09-03,11,R13,272543
NC-105058,2014-08-24,P03,T04,Alta,Auditoría Externa,En Tratamiento,,,R20,487963
NC-105182,2014-08-25,P07,T02,Media,Queja de Cliente,Cerrada,2014-08-30,5,R11,314074
NC-101254,2014-08-26,P02,T01,Crítica,Inspección de Calidad,Cerrada,2014-10-03,38,R19,696653
NC-105832,2014-08-27,P02,T05,Media,Auditoría Interna,Cerrada,2014-09-07,11,R13,39440
NC-102884,2014-08-27,P06,T06,Media,Queja de Cliente,Cerrada,2014-09-01,5,R18,338484
NC-101715,2014-08-29,P04,T06,Alta,Queja de Cliente,Cerrada,2014-09-04,6,R11,1779443
NC-102690,2014-08-29,P05,T05,Alta,Auditoría Interna,Cerrada,2014-09-09,11,R16,1026881
NC-103097,2014-08-29,P01,T01,Baja,Autocontrol,Cerrada,2014-09-21,23,R01,214921
NC-101309,2014-09-02,P08,T03,Baja,Auditoría Externa,Cerrada,2014-09-25,23,R01,162789
NC-102107,2014-09-02,P04,T04,Baja,Autocontrol,Cerrada,2014-09-05,3,R14,240394
NC-105147,2014-09-03,P02,T01,Alta,Queja de Cliente,Cerrada,2014-09-13,10,R09,869720
NC-100829,2014-09-03,P04,T02,Baja,Inspección de Calidad,Cerrada,2014-09-10,7,R11,181646
NC-100333,2014-09-06,P03,T01,Media,Queja de Cliente,Cerrada,2014-09-10,4,R16,98859
NC-104032,2014-09-07,P07,T05,Media,Autocontrol,En Tratamiento,,,R09,760354
NC-102175,2014-09-07,P07,T01,Media,Inspección de Calidad,Cerrada,2014-09-16,9,R09,423907
NC-103306,2014-09-08,P01,T05,Media,Queja de Cliente,Cerrada,2014-09-17,9,R13,729607
NC-102219,2014-09-09,P08,T01,Media,Auditoría Interna,Abierta,,,R09,79162
NC-101713,2014-09-10,P08,T02,Baja,Auditoría Interna,Abierta,,,R11,91722
NC-103378,2014-09-12,P08,T02,Media,Autocontrol,Cerrada,2014-09-27,15,R11,1261327
NC-104751,2014-09-13,P02,T05,Alta,Autocontrol,Cerrada,2014-09-16,3,R16,373380
NC-102461,2014-09-14,P06,T04,Media,Inspección de Calidad,Cerrada,2014-09-23,9,R16,211710
NC-105003,2014-09-14,P08,T06,Baja,Autocontrol,En Tratamiento,,,R17,120823
NC-104328,2014-09-14,P03,T01,Crítica,Inspección de Calidad,Cerrada,2014-09-27,13,R19,327070
NC-102011,2014-09-15,P07,T03,Crítica,Auditoría Interna,Abierta,,,R19,32483
NC-103093,2014-09-15,P01,T05,Media,Queja de Cliente,Cerrada,2014-09-17,2,R16,478092
NC-102558,2014-09-16,P05,T01,Media,Auditoría Interna,Cerrada,2014-10-01,15,R11,667446
NC-105665,2014-09-17,P08,T01,Media,Inspección de Calidad,Cerrada,2014-09-23,6,R16,568413
NC-101860,2014-09-17,P02,T06,Baja,Auditoría Externa,Abierta,,,R13,495690
NC-105662,2014-09-18,P03,T04,Media,Autocontrol,Cerrada,2014-09-27,9,R01,214840
NC-104421,2014-09-18,P04,T06,Media,Auditoría Interna,Cerrada,2014-09-21,3,R23,751353
NC-103386,2014-09-19,P05,T01,Media,Auditoría Interna,Cerrada,2014-09-27,8,R11,555305
NC-100329,2014-09-20,P07,T05,Media,Auditoría Externa,Cerrada,2014-09-26,6,R09,215073
NC-102980,2014-09-21,P05,T04,Baja,Inspección de Calidad,Cerrada,2014-09-28,7,R11,454316
NC-100175,2014-09-21,P02,T02,Media,Autocontrol,Cerrada,2014-10-05,14,R14,1275037
NC-104028,2014-09-22,P07,T03,Media,Auditoría Externa,Cerrada,2014-10-13,21,R17,813526
NC-102826,2014-09-23,P02,T04,Media,Queja de Cliente,Cerrada,2014-09-27,4,R23,1193066
NC-103211,2014-09-24,P06,T05,Media,Inspección de Calidad,Cerrada,2014-09-28,4,R01,934955
NC-103739,2014-09-24,P08,T06,Media,Queja de Cliente,Cerrada,2014-10-07,13,R20,484748
NC-104575,2014-09-25,P04,T04,Media,Auditoría Interna,Cerrada,2014-10-01,6,R09,367363
NC-105216,2014-09-27,P01,T04,Media,Auditoría Interna,Cerrada,2014-10-02,5,R08,890538
NC-105410,2014-09-27,P03,T03,Media,Inspección de Calidad,Cerrada,2014-10-05,8,R08,288860
NC-102229,2014-09-28,P07,T04,Media,Autocontrol,Cerrada,2014-10-07,9,R11,106495
NC-101051,2014-09-28,P05,T02,Alta,Auditoría Interna,Cerrada,2014-10-20,22,R23,1285891
NC-101733,2014-09-30,P06,T02,Media,Autocontrol,Cerrada,2014-10-11,11,R14,185343
NC-100446,2014-10-01,P02,T03,Baja,Autocontrol,Cerrada,2014-10-13,12,R20,430683
NC-102537,2014-10-02,P08,T01,Baja,Autocontrol,Cerrada,2014-10-19,17,R16,321787
NC-102515,2014-10-03,P04,T05,Alta,Auditoría Interna,Cerrada,2014-10-06,3,R18,198722
NC-105596,2014-10-04,P07,T06,Baja,Auditoría Interna,Cerrada,2014-10-08,4,R18,202489
NC-104068,2014-10-05,P01,T04,Alta,Inspección de Calidad,Cerrada,2014-10-13,8,R13,415033
NC-105433,2014-10-09,P05,T05,Media,Autocontrol,Cerrada,2014-10-15,6,R18,1183002
NC-103430,2014-10-09,P07,T06,Baja,Auditoría Interna,Cerrada,2014-10-13,4,R20,218018
NC-105648,2014-10-11,P07,T03,Baja,Inspección de Calidad,Cerrada,2014-10-16,5,R19,32405
NC-105878,2014-10-12,P07,T05,Alta,Auditoría Externa,Cerrada,2014-10-21,9,R09,997691
NC-102284,2014-10-13,P08,T03,Media,Inspección de Calidad,Cerrada,2014-10-18,5,R21,697961
NC-103440,2014-10-14,P03,T04,Baja,Inspección de Calidad,En Tratamiento,,,R17,166427
NC-105205,2014-10-14,P08,T01,Media,Queja de Cliente,Abierta,,,R21,460238
NC-100559,2014-10-16,P02,T04,Crítica,Auditoría Externa,Cerrada,2014-11-05,20,R13,1810215
NC-100170,2014-10-16,P05,T06,Alta,Queja de Cliente,Cerrada,2014-10-17,1,R14,417720
NC-103278,2014-10-18,P03,T03,Alta,Queja de Cliente,En Tratamiento,,,R20,249806
NC-101443,2014-10-20,P02,T06,Alta,Auditoría Externa,Cerrada,2014-10-30,10,R19,1378402
NC-100897,2014-10-20,P05,T03,Media,Auditoría Externa,Cerrada,2014-11-03,14,R01,45795
NC-102431,2014-10-20,P05,T04,Baja,Auditoría Externa,Cerrada,2014-10-29,9,R16,14245
NC-101798,2014-10-20,P01,T01,Alta,Autocontrol,Abierta,,,R11,740432
NC-102953,2014-10-22,P07,T05,Alta,Autocontrol,Cerrada,2014-11-05,14,R17,64598
NC-105343,2014-10-22,P06,T04,Alta,Queja de Cliente,En Tratamiento,,,R09,893619
NC-101543,2014-10-25,P01,T02,Alta,Auditoría Externa,Cerrada,2014-10-29,4,R23,1474230
NC-102100,2014-10-27,P04,T05,Baja,Autocontrol,En Tratamiento,,,R14,330359
NC-100606,2014-10-27,P01,T04,Baja,Inspección de Calidad,Cerrada,2014-11-04,8,R19,267699
NC-104197,2014-10-27,P06,T05,Baja,Autocontrol,Cerrada,2014-11-10,14,R08,300543
NC-100776,2014-10-28,P01,T05,Media,Auditoría Externa,Abierta,,,R09,532625
NC-103048,2014-10-29,P05,T03,Media,Auditoría Interna,Cerrada,2014-11-11,13,R19,733760
NC-103125,2014-10-30,P07,T06,Baja,Autocontrol,Cerrada,2014-11-07,8,R16,194328
NC-104830,2014-10-31,P05,T06,Media,Auditoría Interna,Cerrada,2014-11-13,13,R16,800397
NC-105619,2014-11-01,P01,T04,Alta,Auditoría Interna,Cerrada,2014-11-11,10,R19,229881
NC-105213,2014-11-04,P05,T04,Media,Auditoría Interna,Cerrada,2014-11-13,9,R19,385008
NC-105765,2014-11-04,P07,T06,Alta,Autocontrol,Cerrada,2014-11-18,14,R23,1035965
NC-101606,2014-11-05,P07,T04,Crítica,Queja de Cliente,Cerrada,2014-11-14,9,R21,2731897
NC-101840,2014-11-05,P06,T01,Media,Queja de Cliente,En Tratamiento,,,R20,810563
NC-105376,2014-11-07,P08,T03,Alta,Autocontrol,En Tratamiento,,,R20,692542
NC-101886,2014-11-08,P06,T06,Alta,Auditoría Externa,Cerrada,2014-11-16,8,R09,646043
NC-100045,2014-11-09,P06,T03,Alta,Queja de Cliente,Cerrada,2014-11-18,9,R08,730243
NC-105691,2014-11-10,P06,T04,Baja,Inspección de Calidad,Cerrada,2014-12-02,22,R18,286616
NC-100682,2014-11-11,P02,T05,Alta,Auditoría Externa,Cerrada,2014-11-28,17,R21,960230
NC-105371,2014-11-18,P06,T05,Media,Inspección de Calidad,Cerrada,2014-12-03,15,R23,335965
NC-102051,2014-11-20,P02,T01,Media,Auditoría Externa,Cerrada,2014-12-02,12,R09,304129
NC-101031,2014-11-21,P08,T01,Media,Queja de Cliente,Abierta,,,R14,487908
NC-105688,2014-11-21,P01,T06,Baja,Inspección de Calidad,Cerrada,2014-11-23,2,R18,82362
NC-101108,2014-11-22,P08,T06,Baja,Queja de Cliente,Cerrada,2014-12-02,10,R20,243796
NC-102172,2014-11-22,P02,T05,Media,Auditoría Externa,Cerrada,2014-12-07,15,R01,223151
NC-100536,2014-11-23,P08,T03,Baja,Autocontrol,Cerrada,2014-12-08,15,R11,228281
NC-102060,2014-11-25,P07,T06,Media,Queja de Cliente,Cerrada,2014-12-09,14,R09,129926
NC-101740,2014-11-26,P02,T06,Baja,Auditoría Externa,Cerrada,2014-12-15,19,R21,47015
NC-105533,2014-11-29,P03,T05,Baja,Auditoría Interna,Cerrada,2014-12-13,14,R23,161726
NC-102624,2014-11-30,P08,T04,Crítica,Auditoría Interna,Cerrada,2014-12-25,25,R16,264812
NC-103859,2014-12-02,P03,T05,Media,Queja de Cliente,Cerrada,2014-12-29,27,R20,765737
NC-104668,2014-12-03,P08,T01,Crítica,Auditoría Interna,En Tratamiento,,,R13,1307403
NC-104682,2014-12-03,P04,T02,Baja,Queja de Cliente,Cerrada,2014-12-20,17,R08,156374
NC-101098,2014-12-05,P04,T01,Alta,Auditoría Interna,En Tratamiento,,,R11,299472
NC-105100,2014-12-05,P06,T02,Media,Autocontrol,Cerrada,2014-12-20,15,R19,289484
NC-105107,2014-12-08,P04,T04,Baja,Inspección de Calidad,Cerrada,2014-12-16,8,R08,9632
NC-101854,2014-12-10,P02,T05,Alta,Queja de Cliente,Cerrada,2014-12-24,14,R14,3283783
NC-103253,2014-12-11,P02,T01,Alta,Auditoría Interna,En Tratamiento,,,R23,868140
NC-103436,2014-12-11,P03,T03,Baja,Autocontrol,Cerrada,2014-12-15,4,R19,219054
