CLIENTE;IDENTIFICACION;DOCUMENTO;PAIS;CANAL;FORMA DE PAGO;PRODUCTO;VENDEDOR;FECHA;VENTAS;CANTIDAD;DESCUENTO_PORCENTAJE;PRECIO_UNITARIO
Supermercados Peruanos;896789012.0;FV 109344;Ecuador;Punto de Venta;Transferencia Electronica;Sudadera Puma;Hernando Portilla;2010-09-28;53956;7;0.0;7708
Tiendas Olímpica;901765437.0;FV 67660;Panama;APP;Tarjeta de Credito;Termo de Bicicleta;Lidia Bueno;2023-04-10;55900;8;0.0;6988
Cencosud;901776453.0;FV 101807;Ecuador;Punto de Venta;Cheque;Guayos Nike Cr-7;Viviana Cano;2006-05-27;41514;9;0.0;4613
Super 99;899087237.0;FV 108436;Ecuador;Punto de Venta;Efectivo;Kit de cocina TrailChef;Viviana Cano;2010-04-19;132178;11;0.0;12016
Automercados Plaza's;891009100.0;FV 138475;Ecuador;Telefono;Cheque;Guayos Nike Cr-88;Viviana Cano;2018-11-09;71691;12;0.0;5974
Bodega Aurrerá;890457811.0;FV 124860;Panama;Punto de Venta;Efectivo;Guayos Nike Cr-62;Hernando Portilla;2016-02-10;92227;8;5.9;11528
Jumbo;901345871.0;FV 110985;Ecuador ;Punto de Venta;Tarjeta de Credito;Mountain Man Extreme;Viviana Cano;2011-07-27;Pendiente;8;6.0;13008
Bodega Aurrerá;890457811.0;FV 69729;Panama;Redes Sociales;Tarjeta de Credito;Termo de Bicicleta;Hernando Portilla;2023-06-02;64450;6;8.0;10742
Jumbo;901345871.0;FV 142818;Peru;Telefono;Cheque;Guayos Nike Cr-34;Viviana Cano;2019-09-27;125859;9;0.0;13984
Cencosud;901776453.0;FV 139689;Mexico;Punto de Venta;Cheque;TrailChef Double Flame;Viviana Cano;2019-02-06;57222;5;14.6;11444
Grupo Éxito;809765231.0;FV 138958;Peru;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-121;Bernardo Cifuentes;2018-12-16;43900;3;5.9;14633
Walmart;890342123.0;FV 129073;Ecuador;Punto de Venta;Cheque;Guayos Nike Cr-101;Guillermo Benavides;2016-12-20;105672;8;0.0;13209
Makro;902765200.0;FV 140087;Nicaragua;Punto de Venta;Cheque;Guayos Nike Cr-106;Hernando Portilla;2019-03-09;38988;4;0.0;9747
Ara;901001382.0;FV 104657;Ecuador;Punto de Venta;Cheque;Camiseta Deportiva;Hernando Portilla;2008-05-27;76123;14;6.7;5437
Hipermaxi;899453679.0;FV 108300;Ecuador;Punto de Venta;Efectivo;Guayos Nike Cr-76;Hernando Portilla;2010-03-24;93886;8;0.0;11736
Hipermaxi;899453679.0;FV 49461;Ecuador;Redes Sociales;Tarjeta de Credito;Alivio de mordedura de insectos;Lidia Bueno;2021-03-05;55000;8;0.0;6875
Soriana;901345679.0;FV 135968;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-48;Viviana Cano;2018-04-30;12531;5;0.0;2506
Walmart;890342123.0;FV 124739;Nicaragua;Punto de Venta;Efectivo;Guayos Nike Cr-76;Lidia Bueno;2016-02-02;24226;2;0.0;12113
Automercados Plaza's;891009100.0;FV 124427;Colombia;Punto de Venta;Tarjeta de Credito;Balon de Futbol Adidas;Bernardo Cifuentes;2016-01-09;66275;11;19.8;6025
Tiendas San Francisco;897345600.0;FV 108155;Ecuador;Punto de Venta;Efectivo;Guayos Nike Cr-74;Viviana Cano;2010-02-22;35796;6;0.0;5966
Walmart;890342123.0;FV 68223;Colombia;Redes Sociales;Transferencia Electronica;Pantaloneta;Viviana Cano;2023-04-24;32650;10;0.0;3265
;901457120.0;FV 127327;Mexico;Punto de Venta;Efectivo;Guayos Nike Cr-65;Viviana Cano;2016-08-11;58339;11;8.4;5304
Walmart;890342123.0;FV 47318;Nicaragua;Punto de Venta;Tarjeta de Credito;Set de Madera Lady Hailstorm Titanium;Patricia Angarita;2021-04-07;75000;2;0.0;37500
Carrefour;900348761.0;FV 145216;Peru;Punto de Venta;Tarjeta de Credito;Husky Cuerda 200;Viviana Cano;2020-03-24;41036;4;0.0;10259
Unimarc;900434592.0;FV 40899;Ecuador;Punto de Venta;Efectivo;Termo de Bicicleta;Patricia Angarita;2024-01-06;81850;10;7.2;8185
Super 99;899087237.0;FV 125581;Peru;Telefono;Transferencia Electronica;Alivio de mordedura de insectos;Guillermo Benavides;2016-04-04;59662;10;0.0;5966
Hipermaxi;899453679.0;FV 45873;Mexico;Redes Sociales;Transferencia Electronica;Balon de Microfutbol Golty;Viviana Cano;2024-10-10;55000;2;7.9;27500
Super 99;899087237.0;FV 116599;Colombia;Telefono;Cheque;Guayos Nike Cr-109;Bernardo Cifuentes;2013-07-08;6745;2;0.0;3372
Carrefour;900348761.0;FV 103608;Ecuador;Punto de Venta;Efectivo;Guayos Nike Cr-70;Viviana Cano;2007-10-25;68364;8;0.0;8546
La Anónima;897564399.0;FV 120888;Peru;Telefono;Transferencia Electronica;Balon de Futbol Adidas;Viviana Cano;2014-11-24;86099;15;0.0;5740
Walmart;890342123.0;FV 67788;Panama;Redes Sociales;Transferencia Electronica;Kit de cocina TrailChef;Viviana Cano;2023-04-13;42800;10;0.0;4280
Super 99;899087237.0;FV 142396;Colombia;Punto de Venta;Cheque;Balon de Futbol Adidas;Bernardo Cifuentes;2019-08-28;252830.2431939988;1;0.0;12941
Super 99;899087237.0;FV 133333;Nicaragua;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-16;Lidia Bueno;2017-10-18;32235;13;0.0;2480
Hipermaxi;899453679.0;FV 58141;Panama;APP;Transferencia Electronica;Termo de Bicicleta;Lidia Bueno;2022-02-17;55000;2;0.0;27500
La Anónima;897564399.0;FV 135829;Nicaragua;Telefono;Transferencia Electronica;Guayos Nike Cr-54;Guillermo Benavides;2018-04-18;46612;6;9.8;7769
Bodega Aurrerá;890457811.0;FV 126249;Colombia;Telefono;Efectivo;Mountain Man Extreme;Lidia Bueno;2016-05-23;5077;1;7.1;5077
Hipermaxi;899453679.0;FV 70468;Guatemala;Redes Sociales;Transferencia Electronica;Guantes de Arquero Nike;Bernardo Cifuentes;2023-06-22;55000;2;0.0;27500
Walmart;890342123.0;FV 45418;Honduras;Redes Sociales;Tarjeta de Credito;Alivio de mordedura de insectos;Lidia Bueno;2024-10-10;55000;1;0.0;55000
Hipermaxi;899453679.0;FV 49955;Ecuador;Teléfono;Cheque;Mountain Man Extreme;Viviana Cano;2021-03-17;11050;6;0.0;1842
Gessa;901324700.0;FV 52199;Ecuador;Redes Sociales;Tarjeta de Credito;Juego TrailChef Deluxe Cook;Lidia Bueno;2021-05-12;59200;10;0.0;5920
;901345871.0;FV 113742;Ecuador;Punto de Venta;Cheque;Guayos Nike Cr-66;Bernardo Cifuentes;2012-08-08;14059;4;0.0;3515
Supermercados Peruanos;896789012.0;FV 126537;Panama;Punto de Venta;Cheque;Guayos Nike Cr-88;Viviana Cano;2016-06-15;55425;13;0.0;4263
Super Selectos;901457120.0;FV 112282;Ecuador;Telefono;Transferencia Electronica;Husky Cuerda 200;Bernardo Cifuentes;2012-02-16;101495;8;0.0;12687
Walmart;890342123.0;FV 103014;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-42;Viviana Cano;2007-05-05;108038;10;7.9;10804
Tiendas Olímpica;901765437.0;FV 128824;Peru;Telefono;Cheque;Guayos Nike Cr-112;Bernardo Cifuentes;2016-12-01;8429;1;0.0;8429
Tiendas San Francisco;897345600.0;FV 142432;Nicaragua;Telefono;Tarjeta de Credito;Guayos Nike Cr-39;Guillermo Benavides;2019-08-31;17937;5;6.5;3587
Cencosud;901776453.0;FV 63244;Panama;Redes Sociales;Transferencia Electronica;Batería recargable Firefly;Viviana Cano;2022-09-02;42450;16;0.0;2653
Cencosud;901776453.0;FV 70292;Panama;Redes Sociales;Cheque;Guantes de Arquero Nike;Bernardo Cifuentes;2023-06-18;16500;8;0.0;2062
Carrefour;900348761.0;FV 40510;Ecuador;Punto de Venta;Cheque;GPS glaciar;Patricia Angarita;2024-01-06;405150;2;0.0;202575
Grupo Éxito;809765231.0;FV 120262;Peru;Telefono;Efectivo;Guayos Nike Cr-113;Hernando Portilla;2014-09-10;32248;3;0.0;10749
Carrefour;900348761.0;FV 124673;Panama;Telefono;Efectivo;Guayos Nike Cr-73;Viviana Cano;2016-01-29;147606;11;0.0;13419
Hipermaxi;899453679.0;FV 120306;Colombia;Telefono;Tarjeta de Credito;Canyon Mule Carryall;Hernando Portilla;2014-09-15;9692;3;0.0;3231
;890457811.0;FV 48325;Colombia;Redes Sociales;Transferencia Electronica;Sudadera Puma;Viviana Cano;2021-02-04;55000;6;0.0;9167
Grupo Éxito;;FV 108381;Ecuador;Punto de Venta;Cheque;Guayos Nike Cr-95;Viviana Cano;2010-04-10;199851;15;0.0;13323
Walmart;890342123.0;FV 63410;Mexico;Redes Sociales;Transferencia Electronica;Mountain Man Extreme;Viviana Cano;2022-09-10;54650;10;8.1;5465
Super 99;899087237.0;FV 112615;Peru;Telefono;Cheque;Guayos Nike Cr-92;Bernardo Cifuentes;2012-03-26;9368;2;0.0;4684
Hipermaxi;899453679.0;FV 50226;Ecuador;APP;Efectivo;Mochila Canyon Mula Weekender;Patricia Angarita;2021-03-24;89950;6;0.0;14992
Gessa;901324700.0;FV 137539;Panama;Telefono;Cheque;Guayos Nike Cr-26;Lidia Bueno;2018-08-31;35029;5;0.0;7006
Hipermaxi;899453679.0;FV 54178;Ecuador;Punto de Venta;Efectivo;GPS glaciar;Patricia Angarita;2021-06-29;235690;23;0.0;10247
Unimarc;900434592.0;FV 109489;Ecuador;Punto de Venta;Efectivo;Guayos Nike Cr-47;Viviana Cano;2010-10-25;53831;4;0.0;13458
Tiendas Olímpica;901765437.0;FV 135356;Nicaragua;Punto de Venta;Efectivo;Guayos Nike Cr-42;Guillermo Benavides;2018-03-19;48462;13;9.8;3728
Bodega Aurrerá;890457811.0;FV 148349;Peru;Punto de Venta;Cheque;Guayos Nike Cr-74;Hernando Portilla;2020-11-05;68866;11;0.0;6261
Super Selectos;901457120.0;FV 136975;Nicaragua;Punto de Venta;Cheque;Guayos Nike Cr-110;Bernardo Cifuentes;2018-07-19;49380;10;0.0;4938
Hipermaxi;;FV 45210;Ecuador;Redes Sociales;Tarjeta de Credito;Termo de Bicicleta;Patricia Angarita;2024-10-10;58850;10;6.4;5885
Tiendas Olímpica;901765437.0;FV 148170;Colombia;Telefono;Transferencia Electronica;Guayos Nike Cr-16;Hernando Portilla;2020-10-22;92446;14;6.5;6603
Hipermaxi;899453679.0;FV 50208;Colombia;Redes Sociales;Transferencia Electronica;Kit de cocina TrailChef;Bernardo Cifuentes;2021-03-23;38000;10;0.0;3800
Supermercados Peruanos;896789012.0;FV 49090;Guatemala;Redes Sociales;Transferencia Electronica;Guayos Nike Cr-7;Bernardo Cifuentes;2021-02-23;38050;8;0.0;4756
Cencosud;901776453.0;FV 60713;Honduras;Redes Sociales;Transferencia Electronica;Palo Course Pro;Viviana Cano;2022-05-17;25400;13;0.0;1954
Ara;901001382.0;FV 129468;Panama ;Telefono;Transferencia Electronica;Guayos Nike Cr-19;Bernardo Cifuentes;2017-01-18;137848;11;0.0;12532
Automercados Plaza's;891009100.0;FV 60854;Colombia;Redes Sociales;Tarjeta de Credito;Juego TrailChef Deluxe Cook;Lidia Bueno;2022-05-22;55000;6;0.0;9167
Walmart;890342123.0;FV 53275;Ecuador;Redes Sociales;Tarjeta de Credito;Alivio de mordedura de insectos;Lidia Bueno;2021-06-07;55000;10;14.7;5500
La Anónima;897564399.0;FV 43649;Guatemala;Punto de Venta;Efectivo;Mochila Canyon Mula Weekender;Armando Casas;2024-08-15;91800;10;6.4;9180
Tiendas Olímpica;901765437.0;FV 116364;Ecuador;Telefono;Tarjeta de Credito;Guayos Nike Cr-77;Bernardo Cifuentes;2013-06-13;63930;5;0.0;12786
Ara;901001382.0;FV 64406;Colombia;Redes Sociales;Cheque;Guantes de Arquero Nike;Lidia Bueno;2022-11-07;16350;8;0.0;2044
Bodega Aurrerá;890457811.0;FV 107217;Ecuador;Punto de Venta;Cheque;Guayos Nike Cr-77;Viviana Cano;2009-09-05;57049;5;0.0;11410
Walmart;890342123.0;FV 142559;Mexico;Telefono;Transferencia Electronica;Guayos Nike Cr-11;Hernando Portilla;2019-09-08;21183;2;0.0;10592
Ara;901001382.0;FV 148370;Colombia;Telefono;Efectivo;Guayos Nike Cr-104;Guillermo Benavides;2020-11-07;122102;14;0.0;8722
Automercados Plaza's;891009100.0;FV 114322; Colombia;Punto de Venta;Cheque;Guayos Nike Cr-52;Viviana Cano;2012-10-18;17403;5;0.0;3481
Gessa;901324700.0;FV 129794;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-51;Hernando Portilla;2017-02-11;56295;8;0.0;7037
Soriana;901345679.0;FV 57211;Peru;Redes Sociales;Transferencia Electronica;Kit de cocina TrailChef;Lidia Bueno;2022-01-16;28850;8;0.0;3606
Hipermaxi;899453679.0;FV 64725;Panama;Redes Sociales;Transferencia Electronica;Camiseta Deportiva;Viviana Cano;2022-11-26;24250;10;15.9;2425
Walmart;890342123.0;FV 136053;Panama;Telefono;Transferencia Electronica;Guayos Nike Cr-89;Lidia Bueno;2018-05-07;12764;1;9.2;12764
Gessa;901324700.0;FV 122442;Ecuador;Punto de Venta;Cheque;Guayos Nike Cr-70;Hernando Portilla;2015-05-24;142542;13;7.3;10965
Tiendas Olímpica;901765437.0;FV 143332;Guatemala;Telefono;Cheque;Guayos Nike Cr-21;Lidia Bueno;2019-11-06;23946;9;6.8;2661
Tiendas Olímpica;901765437.0;FV 54294;Guatemala;Redes Sociales;Transferencia Electronica;Mountain Man Extreme;Lidia Bueno;2021-10-04;53450;10;0.0;5345
Tiendas Olímpica;901765437.0;FV 105557;Ecuador;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-100;Viviana Cano;2008-11-13;16179;6;0.0;2696
Automercados Plaza's;891009100.0;FV 129380;Peru;Telefono;Efectivo;Mochila Canyon Mule Journey;Viviana Cano;2017-01-12;Sin dato;3;0.0;13522
Walmart;890342123.0;FV 49358;Ecuador;Teléfono;Transferencia Electronica;Termo de Bicicleta;Hernando Portilla;2021-03-02;55000;6;5.6;9167
Super 99;899087237.0;FV 142476;Nicaragua;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-51;Lidia Bueno;2019-09-02;73646;9;5.6;8183
Tiendas Olímpica;901765437.0;FV 47059;Ecuador;Punto de Venta;Efectivo;Juego TrailChef Deluxe Cook;Patricia Angarita;2024-12-20;75800;23;0.0;3296
Gessa;901324700.0;FV 110048;Ecuador;Punto de Venta;Cheque;Guayos Nike Cr-27;Viviana Cano;2011-02-06;47292;13;0.0;3638
La Anónima;897564399.0;FV 134368;Mexico;Telefono;Tarjeta de Credito;Guayos Nike Cr-17;Viviana Cano;2018-01-02;30143;12;8.5;2512
Hipermaxi;899453679.0;FV 59382;Colombia;Redes Sociales;Cheque;Lámpara de escalada Firefly;Viviana Cano;2022-03-31;13150;10;0.0;1315
;901765437.0;FV 143817;Colombia;Telefono;Transferencia Electronica;Mochila Canyon Mule Journey;Hernando Portilla;2019-12-12;20595;3;19.2;6865
Walmart;890342123.0;FV 55607;Guatemala;Redes Sociales;Tarjeta de Credito;Juego TrailChef Deluxe Cook;Lidia Bueno;2021-11-19;55000;13;0.0;4231
Soriana;901345679.0;FV 125310;Honduras;Telefono;Efectivo;Guayos Nike Cr-22;Bernardo Cifuentes;2016-03-14;1363167.4525665534;13;0.0;5733
Walmart;890342123.0;FV 147658;Guatemala;Punto de Venta;Tarjeta de Credito;Silvato Arbitro;Hernando Portilla;2020-09-15;58557;4;7.1;14639
Carrefour;900348761.0;FV 121948;Colombia;Telefono;Tarjeta de Credito;Guayos Nike Cr-83;Hernando Portilla;2015-03-27;22476;3;0.0;7492
;901345679.0;FV 114231;Ecuador;Telefono;Transferencia Electronica;Casco de escalada de granito;Hernando Portilla;2012-10-04;19526;7;9.1;2789
Grupo Éxito;809765231.0;FV 101337;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-66;Viviana Cano;2006-01-12;54703;9;8.5;6078
Walmart;890342123.0;FV 144385;Colombia;Punto de Venta;Cheque;Guayos Nike Cr-59;Bernardo Cifuentes;2020-01-21;N/A;9;0.0;8934
Grupo Éxito;809765231.0;FV 110953;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-71;Viviana Cano;2011-07-21;85913;10;0.0;8591
Hipermaxi;899453679.0;FV 131329;Peru;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-20;Bernardo Cifuentes;2017-05-29;Pendiente;13;8.3;14372
Hipermaxi;899453679.0;FV 128624;Panama;Telefono;Tarjeta de Credito;Guayos Nike Cr-22;Viviana Cano;2016-11-16;41548;9;18.4;4616
Walmart;890342123.0;FV 70318;Nicaragua;Redes Sociales;Transferencia Electronica;Balon de Futbol Adidas;Viviana Cano;2023-06-18;35950;13;0.0;2765
Automercados Plaza's;891009100.0;FV 42320;Ecuador;Punto de Venta;Efectivo;Termo de Bicicleta;Hernando Portilla;2024-06-04;90250;13;0.0;6942
Walmart;890342123.0;FV 117481;Peru;Punto de Venta;Efectivo;Guayos Nike Cr-59;Hernando Portilla;2013-10-20;39605;4;0.0;9901
Soriana;901345679.0;FV 64181; Honduras;Redes Sociales;Transferencia Electronica;Kit de cocina TrailChef;Armando Casas;2022-10-22;33000;8;0.0;4125
Gessa;901324700.0;FV 122415;Colombia;Telefono;Efectivo;Guayos Nike Cr-122;Hernando Portilla;2015-05-21;6385;1;0.0;6385
Grupo Éxito;809765231.0;FV 116752;Ecuador;Telefono;Efectivo;Guayos Nike Cr-51;Viviana Cano;2013-07-25;24462;2;6.5;12231
Walmart;890342123.0;FV 45172;Nicaragua;Redes Sociales;Tarjeta de Credito;Termo de Bicicleta;Patricia Angarita;2024-10-10;61750;8;0.0;7719
;900348761.0;FV 43769;Colombia;Redes Sociales;Efectivo;Bloqueador solar;Hernando Portilla;2024-07-09;76800;10;0.0;7680
Tiendas San Francisco;897345600.0;FV 141421;Mexico;Telefono;Cheque;Alivio de mordedura de insectos;Bernardo Cifuentes;2019-06-16;6898;1;0.0;6898
Jumbo;901345871.0;FV 102451;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-97;Viviana Cano;2006-11-25;88868;11;5.6;8079
Hipermaxi;899453679.0;FV 66677;Guatemala;Redes Sociales;Transferencia Electronica;Loción BugShield;Viviana Cano;2023-03-03;43000;10;0.0;4300
Hipermaxi;;FV 101293;Ecuador;Punto de Venta;Tarjeta de Credito;Guantes de Arquero Nike;Viviana Cano;2006-01-01;43571;12;0.0;3631
Tiendas San Francisco;897345600.0;FV 115861;Colombia;Telefono;Tarjeta de Credito;Guayos Nike Cr-116;Hernando Portilla;2013-04-17;13536;3;0.0;4512
Cencosud;901776453.0;FV 127597;Panama;Punto de Venta;Efectivo;Guayos Nike Cr-95;Viviana Cano;2016-09-01;104129;10;7.3;10413
Walmart;890342123.0;FV 72518;Ecuador;Redes Sociales;Transferencia Electronica;Camiseta Deportiva;Hernando Portilla;2023-12-03;54000;3;0.0;18000
Grupo Éxito;809765231.0;FV 44501;Guatemala;Redes Sociales;Efectivo;Alivio de mordedura de insectos;Guillermo Benavides;2024-09-25;75000;6;0.0;12500
La Anónima;897564399.0;FV 109853;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-90;Hernando Portilla;2010-12-30;48370;7;0.0;6910
Grupo Éxito;809765231.0;FV 107803;Ecuador;Punto de Venta;Tarjeta de Credito;TrailChef Double Flame;Hernando Portilla;2009-12-22;61486;7;8.0;8784
Jumbo;901345871.0;FV 136547;Nicaragua;Telefono;Cheque;TrailChef Double Flame;Viviana Cano;2018-06-15;795751.071535128;5;0.0;9744
Super Selectos;901457120.0;FV 40567;Ecuador;Punto de Venta;Efectivo;Mochila Canyon Mula Weekender;Bernardo Cifuentes;2024-01-06;235690;4;6.7;58922
Soriana;901345679.0;FV 107844;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-105;Viviana Cano;2009-12-28;183383;14;0.0;13099
Tiendas Olímpica;901765437.0;FV 48062;Nicaragua;Redes Sociales;Tarjeta de Credito;Alivio de mordedura de insectos;Patricia Angarita;2021-01-28;Pendiente;8;14.7;6875
Tiendas Olímpica;901765437.0;FV 71023;Nicaragua;Redes Sociales;Cheque;Guantes de Arquero Nike;Viviana Cano;2023-08-03;11450;2;0.0;5725
Grupo Éxito;;FV 127986;Nicaragua;Punto de Venta;Tarjeta de Credito;BugShield Spray;Guillermo Benavides;2016-09-28;16727;5;0.0;3345
Automercados Plaza's;891009100.0;FV 120495;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-27;Viviana Cano;2014-10-09;64728;13;0.0;4979
La Anónima;897564399.0;FV 67624;Colombia;Redes Sociales;Tarjeta de Credito;Alivio de mordedura de insectos;Patricia Angarita;2023-04-09;75000;2;0.0;37500
Super 99;899087237.0;FV 110572;Ecuador;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-71;Viviana Cano;2011-05-11;163685;14;17.8;11692
Supermercados Peruanos;896789012.0;FV 54676;Ecuador;Redes Sociales;Tarjeta de Credito;Juego TrailChef Deluxe Cook;Lidia Bueno;2021-10-18;55000;13;0.0;4231
Super 99;;FV 111352;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-77;Hernando Portilla;2011-10-02;89008;9;0.0;9890
Automercados Plaza's;891009100.0;FV 143397;Peru;Punto de Venta;Cheque;Guayos Nike Cr-46;Bernardo Cifuentes;2019-11-11;N/A;15;0.0;13433
Super Selectos;901457120.0;FV 124370;Guatemala;Punto de Venta;Efectivo;Guayos Nike Cr-110;Viviana Cano;2016-01-03;151368;12;9.2;12614
Super Selectos;901457120.0;FV 147614;Nicaragua;Telefono;Cheque;Guayos Nike Cr-9;Guillermo Benavides;2020-09-12;31646;3;11.5;10549
Unimarc;900434592.0;FV 128373;Mexico;Punto de Venta;Cheque;Lámpara de escalada Firefly;Bernardo Cifuentes;2016-10-29;24817;2;7.6;12408
Cencosud;901776453.0;FV 143203;Panama;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-115;Hernando Portilla;2019-10-27;75308;10;5.1;7531
Tiendas San Francisco;897345600.0;FV 121055;Peru;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-95;Bernardo Cifuentes;2014-12-14;31208;6;0.0;5201
Tiendas Olímpica;901765437.0;FV 62046;Honduras;Redes Sociales;Cheque;Guantes de Arquero Nike;Guillermo Benavides;2022-07-09;11700;6;6.4;1950
Hipermaxi;899453679.0;FV 60251;Colombia;Redes Sociales;Tarjeta de Credito;Juego TrailChef Deluxe Cook;Hernando Portilla;2022-05-02;55000;10;0.0;5500
Ara;901001382.0;FV 147444;Peru;Punto de Venta;Efectivo;Guayos Nike Cr-122;Guillermo Benavides;2020-09-01;101784;7;9.8;14541
Hipermaxi;899453679.0;FV 46909;Guatemala;Punto de Venta;Efectivo;Arnés Extremo Husky;Patricia Angarita;2024-12-20;80850;6;0.0;13475
Soriana;901345679.0;FV 123778;Colombia;Telefono;Tarjeta de Credito;Mochila Canyon Mule Journey;Hernando Portilla;2015-10-30;47370;14;7.5;3384
La Anónima;;FV 134091;Peru;Telefono;Efectivo;Mochila Canyon Mula Weekender;Guillermo Benavides;2017-12-13;139238;14;13.1;9946
Walmart;890342123.0;FV 131224;Nicaragua;Punto de Venta;Efectivo;Guayos Nike Cr-69;Bernardo Cifuentes;2017-05-20;18851;8;9.5;2356
Soriana;901345679.0;FV 59287;Mexico;Teléfono;Cheque;Guantes de Arquero Nike;Lidia Bueno;2022-03-28;12600;2;5.2;6300
Super Selectos;901457120.0;FV 132784;Guatemala;Telefono;Transferencia Electronica;Guayos Nike Cr-121;Hernando Portilla;2017-09-09;9425;4;0.0;2356
Walmart;890342123.0;FV 66933;Guatemala;Redes Sociales;Transferencia Electronica;Mountain Man Extreme;Hernando Portilla;2023-03-14;44900;6;0.0;7483
Grupo Éxito;809765231.0;FV 129753;Nicaragua;Telefono;Cheque;Guayos Nike Cr-90;Viviana Cano;2017-02-08;14555;6;0.0;2426
Carrefour;900348761.0;FV 143469;Panama;Telefono;Transferencia Electronica;Guayos Nike Cr-25;Guillermo Benavides;2019-11-17;142443;10;0.0;14244
Automercados Plaza's;891009100.0;FV 129363;Panama;Telefono;Tarjeta de Credito;Set de Madera Lady Hailstorm Titanium;Guillermo Benavides;2017-01-09;100275;9;9.9;11142
Supermercados Peruanos;896789012.0;FV 134421;Honduras;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-29;Guillermo Benavides;2018-01-05;67851;14;9.9;4846
Super 99;899087237.0;FV 146345;Nicaragua;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-85;Hernando Portilla;2020-06-14;13000;5;8.5;2600
Carrefour;900348761.0;FV 63951;Mexico;Redes Sociales;Transferencia Electronica;Camiseta Deportiva;Lidia Bueno;2022-10-08;23450;6;0.0;3908
Cencosud;901776453.0;FV 105542;Ecuador;Punto de Venta;Efectivo;Guayos Nike Cr-118;Hernando Portilla;2008-11-10;52689;5;0.0;10538
Tiendas Olímpica;901765437.0;FV 64037;Honduras;APP;Transferencia Electronica;Palo Course Pro;Patricia Angarita;2022-10-13;1231938.061763408;16;8.2;2597
Soriana;901345679.0;FV 61519;Honduras;Redes Sociales;Transferencia Electronica;Pantaloneta;Armando Casas;2022-06-14;34050;10;0.0;3405
Carrefour;900348761.0;FV 143649;Ecuador;Punto de Venta;Tarjeta de Credito;Kit de cocina TrailChef;Guillermo Benavides;2019-11-30;58222;14;10.6;4159
Carrefour;900348761.0;FV 64862;Panama;APP;Transferencia Electronica;Casco de escalada de granito;Lidia Bueno;2022-12-05;23450;23;0.0;1020
Walmart;890342123.0;FV 129606;Honduras;Telefono;Cheque;Guayos Nike Cr-61;Lidia Bueno;2017-01-28;49714;12;0.0;4143
Cencosud;901776453.0;FV 69278;Peru;Redes Sociales;Transferencia Electronica;Kit de cocina TrailChef;Hernando Portilla;2023-05-21;50500;8;0.0;6312
Hipermaxi;899453679.0;FV 115288;Peru;Telefono;Transferencia Electronica;Guayos Nike Cr-45;Viviana Cano;2013-02-05;30773;3;7.7;10258
Super 99;899087237.0;FV 101820;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-113;Viviana Cano;2006-06-01;12309;1;0.0;12309
Super 99;899087237.0;FV 146133;Colombia;Telefono;Transferencia Electronica;Guayos Nike Cr-99;Hernando Portilla;2020-05-30;64314;6;0.0;10719
Grupo Éxito;809765231.0;FV 121208;Colombia;Telefono;Tarjeta de Credito;Husky Cuerda 200;Hernando Portilla;2014-12-30;42078;4;0.0;10520
Hipermaxi;899453679.0;FV 68703;Panama;APP;Efectivo;Husky Cuerda 200;Hernando Portilla;2023-05-07;150600;8;0.0;18825
Carrefour;900348761.0;FV 101668;Ecuador;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-105;Viviana Cano;2006-04-20;60297;5;7.9;12059
Tiendas San Francisco;897345600.0;FV 109261;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-89;Hernando Portilla;2010-09-14;11308;2;0.0;5654
Walmart;890342123.0;FV 60948; Mexico;Redes Sociales;Transferencia Electronica;Balon de Microfutbol Golty;Viviana Cano;2022-05-25;55000;6;0.0;9167
Bodega Aurrerá;890457811.0;FV 128484;Ecuador;Telefono;Cheque;Kit de cocina TrailChef;Lidia Bueno;2016-11-06;?;7;0.0;13973
Walmart;890342123.0;FV 122105;Peru;Telefono;Transferencia Electronica;Guayos Nike Cr-114;Hernando Portilla;2015-04-14;N/A;11;0.0;9106
